Complexity	Time	Predicted
247336	8	14,0665
69498	4	8,48219
6465	0	6,50289
153644	7	11,1245
707365	19	28,5119
46778	15	7,76876
244764	9	13,9857
1,99802e+06	71	69,0399
166	0	6,3051
785412	21	30,9626
1,28523e+06	51	46,6575
1,78004e+06	46	62,1949
582578	25	24,5934
325516	10	16,5214
376310	17	18,1164
530124	24	22,9463
78903	2	8,77752
72666	4	8,58167
371084	10	17,9523
320165	16	16,3534
1,97831e+06	67	68,4209
393712	10	18,6628
138300	8	10,6426
2,68567e+06	79	90,6327
1,07545e+06	35	40,07
413094	14	19,2715
122235	24	10,1382
335558	17	16,8368
871195	40	33,6563
641969	34	26,4584
151779	4	11,0659
57042	1	8,09106
505990	25	22,1885
304231	22	15,8531
24832	0	7,07964
1,80157e+06	50	62,8711
1,50633e+06	41	53,6003
491292	13	21,727
1,83041e+06	49	63,7767
8211	0	6,55772
256943	28	14,3682
756737	20	30,0622
669933	23	27,3365
109176	5	9,72812
629476	40	26,0661
404387	21	18,9981
158908	4	11,2898
175072	4	11,7973
413048	13	19,27
502883	43	22,0909
223534	9	13,3191
70725	6	8,52072
183071	6	12,0485
425857	11	19,6722
825361	21	32,2171
204946	4	12,7354
213753	9	13,012
1,55731e+06	76	55,201
45960	3	7,74308
547200	15	23,4825
185817	6	12,1347
632442	58	26,1592
221409	11	13,2524
29349	2	7,22147
717937	19	28,8438
102002	14	9,50285
1,15533e+06	36	42,5786
454404	18	20,5686
951559	35	36,1798
41039	4	7,58855
961677	23	36,4975
84192	2	8,9436
1,4263e+06	82	51,0872
25304	0	7,09446
74913	47	8,65223
93533	13	9,23692
314514	9	16,1759
1,76701e+06	76	61,7859
45469	1	7,72766
577040	20	24,4195
383480	17	18,3416
1,22426e+06	45	44,7428
686877	21	27,8685
675172	19	27,501
309309	12	16,0125
839214	32	32,6521
538219	27	23,2005
42201	1	7,62504
66232	5	8,37964
1,06366e+06	28	39,7
143500	33	10,8059
1,37478e+06	45	49,4695
17656	1	6,8543
384754	74	18,3816
38308	3	7,5028
46966	1	7,77467
1,09574e+06	44	40,7072
199888	46	12,5766
61152	4	8,22012
422115	11	19,5547
1,39386e+06	39	50,0687
864181	55	33,4361
186295	7	12,1497
1,53052e+06	43	54,3599
140789	8	10,7208
28607	0	7,19818
2,24074e+06	75	76,6613
84335	4	8,94809
321226	19	16,3867
2,30854e+06	68	78,7903
45047	1	7,71441
138812	9	10,6587
1,15536e+06	34	42,5794
274339	11	14,9144
437292	22	20,0313
413253	26	19,2765
24033	16	7,05455
996	0	6,33116
477825	19	21,3041
170631	11	11,6579
942778	45	35,9041
78165	3	8,75435
2,42231e+06	73	82,3629
20219	0	6,93478
257886	30	14,3978
1,17886e+06	56	43,3173
27687	4	7,16929
16665	0	6,82318
899549	66	34,5466
419645	64	19,4772
64357	4	8,32076
277922	21	15,0269
763510	25	30,2749
521962	17	22,69
825863	22	32,2328
1,79204e+06	49	62,5717
710925	26	28,6237
244840	9	13,9881
243050	6	13,9319
1,25658e+06	54	45,7578
1,63278e+06	42	57,5709
1,67757e+06	45	58,9772
308091	8	15,9743
717134	24	28,8186
53425	2	7,97749
19903	0	6,92486
1,15589e+06	31	42,5961
234057	51	13,6495
43940	4	7,67965
56074	2	8,06067
46867	4	7,77156
861903	28	33,3645
861948	58	33,3659
24485	0	7,06874
46780	1	7,76883
391103	14	18,5809
405769	19	19,0414
14631	0	6,75931
267689	10	14,7056
216328	7	13,0928
38538	1	7,51002
1,18163e+06	35	43,4043
707922	56	28,5294
749629	42	29,839
1,73699e+06	70	60,8431
587719	16	24,7549
6798	0	6,51335
64997	1	8,34086
199851	5	12,5754
25956	0	7,11493
126395	4	10,2688
51094	7	7,90429
81275	2	8,852
43617	3	7,6695
613905	30	25,5771
395563	16	18,721
27738	3	7,17089
469470	19	21,0417
16828	0	6,8283
60775	7	8,20828
201209	5	12,6181
90526	2	9,1425
207493	4	12,8154
724215	19	29,041
1,03261e+06	50	38,7248
215024	24	13,0519
1,28108e+06	38	46,5271
230406	8	13,5349
96239	4	9,32189
116677	6	9,96366
75312	1	8,66476
160417	5	11,3371
67058	1	8,40558
433657	29	19,9172
49977	1	7,86922
86552	3	9,01771
42056	1	7,62049
507557	40	22,2377
37899	2	7,48995
131997	4	10,4447
61808	5	8,24072
23170	1	7,02745
2,37693e+06	73	80,9379
503297	15	22,1039
133680	11	10,4976
915366	55	35,0433
23332	0	7,03253
265174	8	14,6266
22404	0	7,00339
462227	16	20,8143
55070	1	8,02914
126731	5	10,2794
301152	20	15,7564
129476	7	10,3656
89674	13	9,11574
573831	34	24,3188
878028	25	33,8709
530076	46	22,9448
512937	13	22,4066
337783	10	16,9066
301189	40	15,7575
198689	11	12,5389
301631	8	15,7714
300213	8	15,7269
79374	67	8,79231
133	0	6,30406
274182	11	14,9095
3,08196e+06	85	103,077
566168	27	24,0781
36652	18	7,4508
163008	13	11,4185
197277	18	12,4946
77954	2	8,74772
644625	45	26,5418
11213	1	6,65199
61035	2	8,21645
208624	5	12,8509
93233	2	9,2275
119308	6	10,0463
325419	41	16,5184
1,83341e+06	51	63,8708
383401	19	18,3391
10090	0	6,61672
105703	3	9,61907
2,0091e+06	61	69,3877
1,10661e+06	29	41,0485
497481	17	21,9213
176033	11	11,8275
1,21491e+06	44	44,4492
536944	33	23,1605
851546	46	33,0393
223370	6	13,3139
651112	29	26,7455
339942	57	16,9744
234356	11	13,6589
177005	7	11,858
479349	13	21,3519
21109	1	6,96273
34355	1	7,37867
187953	6	12,2018
173123	21	11,7361
782621	28	30,875
1,50332e+06	47	53,5058
551790	16	23,6267
9276	2	6,59116
109208	21	9,72913
57683	2	8,11119
481418	68	21,4169
170016	14	11,6386
215168	8	13,0564
120150	3	10,0727
516178	35	22,5084
772892	28	30,5695
51569	2	7,91921
413600	12	19,2874
27208	0	7,15425
136613	4	10,5897
685030	40	27,8105
482150	14	21,4399
203580	5	12,6925
103963	22	9,56443
136528	5	10,587
288789	11	15,3682
380388	13	18,2445
1,30096e+06	63	47,1514
446530	11	20,3214
76676	1	8,70759
339088	13	16,9476
968455	26	36,7104
